;descrizione;prezzo;location;link;immagine
20;iMac (21,5 pollici, metà 2011);300.0;Torino, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/1813811928815216/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/272642009_4513590355433884_2228453293085935412_n.png?stp=c35.0.260.260a_dst-png_p261x260&_nc_cat=102&ccb=1-5&_nc_sid=c48759&_nc_ohc=q2NyJlw3I0oAX-hkaYJ&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT8YeMwXaJAdfwfzZRcJ9yuvx7SJfJClctX7-ebq0N7lgw&oe=62771D5C"">"
21;iMac late 2009;300.0;Bra, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/492647665792533/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/246005293_4659386444169027_1800326735504717676_n.png?stp=c0.5.261.261a_dst-png_p261x260&_nc_cat=108&ccb=1-5&_nc_sid=c48759&_nc_ohc=0GF-vydxMhYAX8hv1Pk&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT84Aw--8dShCyOTxLJtmfWtfdVGT7jkD2oITrh0G1dTng&oe=6277CAFB"">"
22;iMac 24“ HDD1TB con stampante;325.0;Moncalieri, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/1609951206032263/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/273116977_5081316471900029_8120367267199064343_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=106&ccb=1-5&_nc_sid=c48759&_nc_ohc=c1tgtp2WmGwAX8xAQ8H&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT_eytR3P2uat3Xh2pFBD2H_dopqis2JDvP-XhRiqNA5JQ&oe=6277E468"">"
23;Imac 21,5 Pollici, processore i5, 8gb Ram;350.0;Torino, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/319714566966777/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/275656810_6945394782197483_140334432003097128_n.png?stp=c43.0.260.260a_dst-png_p261x260&_nc_cat=103&ccb=1-5&_nc_sid=c48759&_nc_ohc=VKHC2Pf_3kcAX_8qxW8&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT8cqjpJDoC3jO0BbyESrANB4VeTmVTuNAZ6KJhSTeDFDQ&oe=62771590"">"
24;IMac fine 2011, 16 gb di ram, 21.5 pollici, perfettamente funzionante usato pochissime volte;350.0;Moncalieri, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/636748540728457/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t39.30808-6/274722261_2069996109866965_2898315375580037694_n.jpg?stp=c102.0.260.260a_dst-jpg_p261x260&_nc_cat=108&ccb=1-5&_nc_sid=843cd7&_nc_ohc=26KUtC2twacAX_QGhqi&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT8hg6CYFIkt3YpdaOpTocLXd5LD4tFJRTi8RoEgtPOOrg&oe=6277820F"">"
25;IMac 21.5;380.0;Biella, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/1172678083468496/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/273455790_4274219892678013_4720807162474478935_n.png?stp=c0.43.261.261a_dst-png_p261x260&_nc_cat=107&ccb=1-5&_nc_sid=c48759&_nc_ohc=RvY13cNROKUAX_9Ox_R&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT9TY-mqTT4-bTUGhZLdpPxPNP1Q_0ahSgpGP-C-fql0dQ&oe=6276D51E"">"
26;iMac 16gb / 1T SSD + Tastiera;400.0;Torino, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/698148927973340/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/277900053_4850262015050251_4883113284825288508_n.png?stp=c0.9.261.261a_dst-png_p261x260&_nc_cat=100&ccb=1-5&_nc_sid=c48759&_nc_ohc=GbYVtQs2K5sAX9g0MGo&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT9dOPWJGYa2n-IUkj9xhoXw0a6z92a3ObM4JpdHNUV9RQ&oe=62771E6D"">"
27;iMac 21,5 2011 quadcore i5;420.0;Chieri, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/671645670562197/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/275928010_7846759678683401_1212675935117687999_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=108&ccb=1-5&_nc_sid=c48759&_nc_ohc=rKEkaRg-Bd4AX9RjTG0&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT94WfnTr6SJRp7fC7GcIUYw0lCSQWP2u9vdTe_i0mtqZA&oe=6277B4CC"">"
28;"iMac 27"" mid 2010 - Apple iMac 27 pollici";450.0;Calamandrana, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/920211081978440/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/277929933_5417678754958092_6439611542709100574_n.png?stp=c43.0.260.260a_dst-png_p261x260&_nc_cat=108&ccb=1-5&_nc_sid=c48759&_nc_ohc=38IpxLEyY8IAX_Mqy2V&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT83c5ROs7UpBZq2rtz2kze_sGgi9z9vo9r41j-mTfgGvw&oe=6276C4CD"">"
29;IMac da 21.5 Apple;500.0;Torino, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/393200539007327/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/277703014_5158291784232587_8296063977228566329_n.png?stp=c0.71.261.261a_dst-png_p261x260&_nc_cat=100&ccb=1-5&_nc_sid=c48759&_nc_ohc=KL5RQoYx8CQAX8vnnE7&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT-wFezDJsVGNI4mtkumQjukD0kYiF6CaJw_Tg_aDUBTXg&oe=62783FD5"">"
