;descrizione;prezzo;location;link;immagine
20;Portatile Chromebook go Samsung;200;Novara, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/799164218152516/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/274929017_7394729377233818_8400959462579768189_n.png?stp=c38.0.260.260a_dst-png_p261x260&_nc_cat=106&ccb=1-5&_nc_sid=c48759&_nc_ohc=xOOQXpZf-VEAX9yCAjZ&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT_6ZRJuN4p_avD3MITrQKIhxvYAN6IfRct_fQwSUADdoQ&oe=6278A900"">"
21;Samsung Galaxy Chromebook Go;200;Milano, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/669921804105732/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/279737895_5197590700330796_1518424999367616337_n.png?stp=c158.0.260.260a_dst-png_p261x260&_nc_cat=103&ccb=1-5&_nc_sid=c48759&_nc_ohc=3a6KyyTaL0cAX_95ODA&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT_17nk500AX6GOijV88jH3O5cFb8FRFag-Wg221i3UjOA&oe=627905C6"">"
22;Samsung Chromebook Go;200;Busto Arsizio, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/704771807226355/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/277357158_5376608469040764_474059593047294385_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260&_nc_cat=102&ccb=1-5&_nc_sid=c48759&_nc_ohc=3rmE31Z95YgAX9NYztD&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT-kkJoZZuWGLlBvpI0G3REQgulkPQrwlyPaDBI5gp7P3w&oe=6277BA16"">"
23;Galaxy Chromebook Go;200;Legnano, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/291795083073605/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/276128768_4839303502785113_2050067401461644450_n.png?stp=c0.43.261.261a_dst-png_p261x260&_nc_cat=100&ccb=1-5&_nc_sid=c48759&_nc_ohc=ObtoJCaJCnUAX84eWww&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT-1AsU8KBcZv-4KzsD3JnAdk4Cb9Ffv9NMgTQunB-fUiQ&oe=62791436"">"
24;Samsung Galaxy Chromebook Go 14” NUOVO;200;Lodi, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/352259233598563/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/275907498_7568158893201758_6982550536923813004_n.png?stp=c0.43.261.261a_dst-png_p261x260&_nc_cat=111&ccb=1-5&_nc_sid=c48759&_nc_ohc=3V49g2OaQPwAX9fixgP&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT-F8aPacsnZqOLlWHLCo86iHtq9Y8730mnpYHJa5eDBXQ&oe=6278E1DC"">"
25;Computer Hp chromebook;200;Novara, Piemonte;<a href=https://it-it.facebook.com/marketplace/item/1581062125590961/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/273461161_4763770510345145_1829200951846574912_n.png?stp=c0.43.261.261a_dst-png_p261x260&_nc_cat=111&ccb=1-5&_nc_sid=c48759&_nc_ohc=biVAi19Tu04AX8oO6ED&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT8SbhtGkx7yyHIIXX0Gld5CcjE2IFclY4Z3F9dDGPOAOQ&oe=62795C01"">"
26;Chromebook Go Samsung;200;Rovato, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/3173199846282402/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/273691482_4794989107280308_7669869108473272603_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=105&ccb=1-5&_nc_sid=c48759&_nc_ohc=WcyprAHuG_kAX9e1MrK&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT-LBinXJr9XBttPY_ND4dU6fgJVwCg-EY4HGh7x953fwQ&oe=6277CE03"">"
27;Chromebook Go;200;Cassano d'Adda, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/494682459061503/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/277968138_5080003992113839_8800474615857411557_n.png?stp=c43.0.260.260a_dst-png_p261x260&_nc_cat=103&ccb=1-5&_nc_sid=c48759&_nc_ohc=XbkfYIjRZEQAX8DtPOd&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT86FOB75QGh68J-nwdQf5hzXHzYGTHNubJ35zGwSaOYVQ&oe=6277DD1B"">"
28;GALAXY CHROMEBOOK GO / 340XDA-KA1;220;Milano, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/2547381898728278/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/278117856_7247920991948736_128068573770453529_n.png?stp=c150.0.260.260a_dst-png_p261x260&_nc_cat=107&ccb=1-5&_nc_sid=c48759&_nc_ohc=mWR0yv6M2iQAX-CBfwH&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT-lObvq-UY_wefqaFd2a-lu9fJ9Tpikl-FGng00hiJfbA&oe=6279350D"">"
29;Chromebook Hp 14A-NA0021NL;230;Milano, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/310275101098875/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/258923080_6595012997238528_5183279626260740781_n.png?stp=c0.43.261.261a_dst-png_p261x260&_nc_cat=106&ccb=1-5&_nc_sid=c48759&_nc_ohc=tsjOIEtgWIkAX-yxehK&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT9UF-FG3TwJQFSAHtnccTLeG-82ahLV0To3EOGRdPg7Dw&oe=62797A41"">"
30;Chromebook HP nuovo;230;Milano, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/1223306914846834/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/269733837_4056387111130905_8127563553823051662_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=100&ccb=1-5&_nc_sid=c48759&_nc_ohc=Ccf5d85ecDYAX9nYEGi&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT9VOHCx3QDcmn-jtLczConXWIQ0U2llhrc90RzqSGeUPQ&oe=6278E795"">"
31;Pc Samsung Chromebook ;249;Seregno, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/685288129358868/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/277703880_5376015782429956_112396216521366742_n.jpg?stp=c1.0.260.260a_dst-jpg_p261x260&_nc_cat=111&ccb=1-5&_nc_sid=c48759&_nc_ohc=DBXc2Jt1BiUAX-Gvecq&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT90xA-WAbJT0ocRqSUC8EREj34Ff9ezZ3ISmkduNtv8Ug&oe=62786003"">"
32;Chromebook 14” HP notebook NUOVISSIMO - acquisto errato;250;Cantù, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/1369083636883872/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/275178232_7201885433219682_5343830552484252936_n.png?stp=c0.43.261.261a_dst-png_p261x260&_nc_cat=108&ccb=1-5&_nc_sid=c48759&_nc_ohc=UY2b3tPglxwAX-jtsJE&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT_F-0JqXM7_lDYjrEjWaAFfykVDjywxDbv8a_WxA40R2g&oe=62781A8C"">"
33;PC SAMSUNG Chromebook go;250;Meda, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/1061551167777507/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/277712983_7230802703656650_4914865688471556233_n.png?stp=c0.43.261.261a_dst-png_p261x260&_nc_cat=103&ccb=1-5&_nc_sid=c48759&_nc_ohc=mbu_4ldBjVsAX8aziio&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT_8lHFQACpVxPnMly8CWJ2s9lLF66K0zN3nUV9I7v_tkg&oe=6278B15E"">"
34;"Vendo 
HP CHROMEBOOK";250;Sesto San Giovanni, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/3218469171775458/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/274934082_5059865527399509_1396041388862704195_n.png?stp=c204.0.260.260a_dst-png_p261x260&_nc_cat=100&ccb=1-5&_nc_sid=c48759&_nc_ohc=3LcevQvKC7cAX_iYS2W&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT8jeJyTwf5Ke1y3pFVMFCU2WDGi5ETUDwGt4L1f8XAG7w&oe=6279212D"">"
35;Samsung chromebook go;250;Castrezzato, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/296543879278892/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/275738197_4649481491828623_3132543452372817351_n.png?stp=c0.43.261.261a_dst-png_p261x260&_nc_cat=106&ccb=1-5&_nc_sid=c48759&_nc_ohc=-c8H9uh-AtgAX-kUnu6&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT_h2vnCIXWKqxUPAZU8oz87-ew5ZfV-dvduzT331duSsg&oe=62784806"">"
36;Chromebook Go - Samsung (NUOVO);250;Milano, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/1058336111445621/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/261595709_4225498147554618_2172755598536453176_n.jpg?stp=c0.101.261.261a_dst-jpg_p261x260&_nc_cat=110&ccb=1-5&_nc_sid=c48759&_nc_ohc=auqdAA3QpdMAX9j_ed8&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT-VlvS4Oez_TRqc4eGNePqQxL3Hzmr69uLAPEsZcDPxrQ&oe=62797565"">"
37;Samsung Galaxy Chromebook,;260;Castelleone, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/1433623487066787/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/278144819_4788959074563944_1402129352965349198_n.png?stp=c26.0.260.260a_dst-png_p261x260&_nc_cat=108&ccb=1-5&_nc_sid=c48759&_nc_ohc=hClrJi3whzAAX_C2FmL&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT8lfYXGrskJdcGqvVE0EdNspEmN7f-E9XY-aVXjyGkKSg&oe=6277F8D8"">"
38;Chrome book HP;270;Cividate al Piano, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/787758662203927/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/275487255_5339901962721267_4192025259098394643_n.png?stp=c21.0.258.258a_dst-png_p300x225&_nc_cat=109&ccb=1-5&_nc_sid=c48759&_nc_ohc=9IjN_jLy_dUAX_edyFP&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT_Pzw505gUy5sFfMJWqh057SwBv9o1WeRjE7JC2PUemLg&oe=6277D66D"">"
39;Laptop, tablet, touchscreen Lenovo Chromebook 10.1;270;Limbiate, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/395231345407372/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/279151394_5733326583350711_8180612465286917774_n.jpg?stp=c0.101.261.261a_dst-jpg_p261x260&_nc_cat=103&ccb=1-5&_nc_sid=c48759&_nc_ohc=zW3fCss6w3oAX_PiqO7&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT-xesv0cnJ_ECLyVoZDnFNJBZV_o44rox5n8pIRaggl0Q&oe=62784801"">"
40;Samsung Galaxy Chromebook GO!;280;Milano, Lombardia;<a href=https://it-it.facebook.com/marketplace/item/718451305997488/?ref=search&referral_code=marketplace_search&referral_story_type=post>Link annuncio</a>;"<img src=""https://scontent.ftrn1-1.fna.fbcdn.net/v/t45.5328-4/274030587_7070657746342242_7793292652517241284_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=104&ccb=1-5&_nc_sid=c48759&_nc_ohc=0zWaGa1zKXwAX_M1XKZ&_nc_ht=scontent.ftrn1-1.fna&oh=00_AT9HSdH-22O2r_vHB7bMzLnn_IxQax-dwYwA4R5yu2XkFA&oe=62781FB8"">"
